ID,region_narrow,name,sex,country,notes,lat,long,hindwingWhite,forewingTip,groundColour,group,bam
IG20NY041,NYA,Tommy,M,Rwanda,N/A,-2.154,30.077,absent,present,intermediate,other,IG20NY041.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY042,NYA,Drake,M,Rwanda,N/A,-2.154,30.077,present,partial,light,other,IG20NY042.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY043,NYA,Francisca,F,Rwanda,N/A,-2.154,30.077,absent,present,dark,other,IG20NY043.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY045,NYA,Kiran,F,Rwanda,N/A,-2.154,30.077,absent,present,intermediate,other,IG20NY045.292.220202.Dchry2.2.bwa.default.rmdup.bam
IG20NY046,NYA,Callie,F,Rwanda,N/A,-2.154,30.077,absent,present,dark,other,IG20NY046.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY047,NYA,Jess,F,Rwanda,N/A,-2.154,30.077,absent,present,dark,other,IG20NY047.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY048,NYA,Betty ,F,Rwanda,N/A,-2.154,30.077,absent,present,dark,other,IG20NY048.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY049,NYA,Bertha,F,Rwanda,N/A,-2.154,30.077,absent,absent,light,other,IG20NY049.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY053,NYA,Aoibheann ,F,Rwanda,N/A,-2.154,30.077,absent,present,light,other,IG20NY053.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY054,NYA,Arthur ,M,Rwanda,N/A,-2.154,30.077,absent,absent,light,other,IG20NY054.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY056,NYA,Balthazar,M,Rwanda,N/A,-2.154,30.077,absent,present,dark,other,IG20NY056.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY057,NYA,Carine,F,Rwanda,N/A,-2.154,30.077,absent,present,dark,other,IG20NY057.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY058,NYA,Caspar,M,Rwanda,N/A,-2.154,30.077,absent,partial,intermediate,other,IG20NY058.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY060,NYA,Bruno,M,Rwanda,N/A,-2.154,30.077,partial,present,dark,other,IG20NY060.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY062,NYA,Chanise,F,Rwanda,N/A,-2.154,30.077,partial,absent,light,other,IG20NY062.merged.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY063,NYA,Claudine,F,Rwanda,N/A,-2.154,30.077,absent,present,light,other,IG20NY063.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY066,NYA,Cynthia,F,Rwanda,N/A,-2.154,30.077,present,present,light,other,IG20NY066.H5CKGDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
RB20110,NYA,Cora,F,Rwanda,Daughter of 1G20.NY002. Mother of SB211.,-2.154,30.077,absent,present,dark,other,RB20110.EDSW210008701-1a.220621.Dchry2.2.bwa.default.rmdup.bam
SM16K567,NRB,Harriet,F,Kenya,N/A,-1.39,36.82,absent,absent,light,other,SM16K567.DSW31520.220307.Dchry2.2.bwa.default.rmdup_2sets.bam
SM16K570,NRB,Sparkle,F,Kenya,N/A,-1.39,36.82,absent,partial,light,other,SM16K570.DSW31521.220307.Dchry2.2.bwa.default.rmdup_2sets.bam
SM16K571,NRB,Peggy,F,Kenya,N/A,-1.39,36.82,absent,absent,light,other,SM16K571.DSW44974.220307.Dchry2.2.bwa.default.rmdup.bam
SM16K577,NRB,Sorcha,F,Kenya,N/A,-1.39,36.82,present,partial,light,other,SM16K577.DSW31522.220307.Dchry2.2.bwa.default.rmdup.bam
