indiv,region_narrow,name,sex,country,colour,region,notes,lat,long,hindwingWhite,forewingBand,backgroundColour,bam
SM18R012,NYA,Aloysius,M,Rwanda,tomato4,tomato4,N/A,-2.22,30.12,partial,present,dark,SM18R012.EDSW200018977-1a.220307.Dchry2.2.bwa.default.rmdup_2sets.bam
IG18RN01,NYA,Steve,M,Rwanda,tomato4,tomato4,N/A,-2.22,30.12,absent,present,light,IG18RN01.UKDSW02211-1.220307.Dchry2.2.bwa.default.rmdup.bam
IG18RN02,NYA,Marion,F,Rwanda,tomato4,tomato4,N/A,-2.22,30.12,absent,present,light,IG18RN02.UKDSW02212-C-1.220307.Dchry2.2.bwa.default.rmdup.bam
IG20NY001,NYA,Maria,F,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,partial,partial,light,IG20NY001.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY003,NYA,Sabin,F,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,dark,IG20NY003.merged.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY006,NYA,Yvan,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,intermediate,IG20NY006.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY009,NYA,Wilfred,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,dark,IG20NY009.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY012,NYA,Nadine,F,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,absent,light,IG20NY012.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY014,NYA,Enatha,F,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,absent,light,IG20NY014.merged.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY015,NYA,Tharcisse,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,partial,light,IG20NY015.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY016,NYA,Noah ,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,dark,IG20NY016.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY017,NYA,Abel,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,absent,intermediate,IG20NY017.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY018,NYA,Alec,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,partial,partial,light,IG20NY018.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY019,NYA,Gilbert,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,dark,IG20NY019.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY020,NYA,Kirsty ,F,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,dark,IG20NY020.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY021,NYA,Davina,F,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,dark,IG20NY021.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY023,NYA,Yvonne,F,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,partial,light,IG20NY023.H5CKGDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY024,NYA,Kevin,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,absent,light,IG20NY024.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY025,NYA,Adam ,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,partial,present,light,IG20NY025.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY026,NYA,Thomas,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,present,present,light,IG20NY026.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY029,NYA,Sive,F,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,partial,light,IG20NY029.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY030,NYA,Nathan,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,dark,IG20NY030.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY031,NYA,Natalie ,F,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,absent,intermediate,IG20NY031.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY032,NYA,Mike,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,partial,present,dark,IG20NY032.H5CKGDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
